Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2007,3,7,25,3,7/25/2007,CO,19704,CO,N12318,604,12451,1245101,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1759,1757,-2,0,0,-1,1700-1759,11,1808,2001,17,2046,2018,-28,0,0,-2,2000-2059,0,,0,167,141,113,1,821,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N74856,1579,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1134,1129,-5,0,0,-1,1100-1159,32,1201,1943,20,1944,2003,19,19,1,1,1900-1959,0,,0,310,334,282,1,2227,9,0,0,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N16234,800,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1435,1428,-7,0,0,-1,1400-1459,20,1448,1724,34,1747,1758,11,11,0,0,1700-1759,0,,0,192,210,156,1,1065,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N14613,1195,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1630,1629,-1,0,0,-1,1600-1659,26,1655,1753,13,1806,1806,0,0,0,0,1800-1859,0,,0,96,97,58,1,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N33608,1106,11278,1127801,30852,DCA,"Washington, DC",VA,51,Virginia,38,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1100,1104,4,4,0,0,1100-1159,19,1123,1218,7,1212,1225,13,13,0,0,1200-1259,0,,0,72,81,55,1,199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N73275,234,14747,1474702,30559,SEA,"Seattle, WA",WA,53,Washington,93,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2235,2304,29,29,1,1,2200-2259,19,2323,709,8,635,717,42,42,1,2,0600-0659,0,,0,300,313,286,1,2401,10,4,0,13,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N21108,493,13204,1320401,31454,MCO,"Orlando, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1553,1552,-1,0,0,-1,1500-1559,22,1614,1822,8,1855,1830,-25,0,0,-2,1800-1859,0,,0,182,158,128,1,938,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N75853,90,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1153,1151,-2,0,0,-1,1100-1159,25,1216,2023,17,2023,2040,17,17,1,1,2000-2059,0,,0,330,349,307,1,2454,10,0,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N35271,277,14635,1463501,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2040,2159,79,79,1,5,2000-2059,10,2209,25,9,2348,34,46,46,1,3,2300-2359,0,,0,188,155,136,1,1068,5,0,2,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N12221,485,14057,1405701,34057,PDX,"Portland, OR",OR,41,Oregon,92,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,730,723,-7,0,0,-1,0700-0759,15,738,1546,7,1545,1553,8,8,0,0,1500-1559,0,,0,315,330,308,1,2433,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
